__v,_id,date,piece,position.posX,position.posY
0,6089b7e6e89e382bdc20d679,2021-04-28T19:30:46.795Z,pieceBlack0,0,0
0,6089b7e6e89e382bdc20d67a,2021-04-28T19:30:46.818Z,pieceBlack1,0,0
0,6089b7e6e89e382bdc20d67b,2021-04-28T19:30:46.826Z,pieceBlack2,0,0
0,6089b7e6e89e382bdc20d67c,2021-04-28T19:30:46.838Z,pieceBlack3,0,0
0,6089b7e6e89e382bdc20d67d,2021-04-28T19:30:46.845Z,pieceBlack4,3,0
0,6089b7e6e89e382bdc20d67e,2021-04-28T19:30:46.856Z,pieceBlack5,3,2
0,6089b7e6e89e382bdc20d67f,2021-04-28T19:30:46.925Z,pieceBlack6,4,1
0,6089b7e6e89e382bdc20d680,2021-04-28T19:30:46.930Z,pieceBlack8,5,2
0,6089b7e6e89e382bdc20d681,2021-04-28T19:30:46.936Z,pieceBlack7,5,0
0,6089b7e6e89e382bdc20d682,2021-04-28T19:30:46.940Z,pieceBlack9,6,1
0,6089b7e6e89e382bdc20d683,2021-04-28T19:30:46.945Z,pieceBlack10,7,0
0,6089b7e6e89e382bdc20d684,2021-04-28T19:30:46.949Z,pieceBlack11,7,2
0,6089b87781b3dd3ee861d707,2021-04-28T19:33:11.913Z,pieceWhite0,0,5
0,6089b87781b3dd3ee861d708,2021-04-28T19:33:11.935Z,pieceWhite1,0,7
0,6089b87781b3dd3ee861d709,2021-04-28T19:33:11.944Z,pieceWhite2,1,6
0,6089b87781b3dd3ee861d70a,2021-04-28T19:33:11.951Z,pieceWhite3,2,5
0,6089b87781b3dd3ee861d70b,2021-04-28T19:33:11.957Z,pieceWhite4,2,7
0,6089b87781b3dd3ee861d70c,2021-04-28T19:33:11.969Z,pieceWhite5,3,6
0,6089b87881b3dd3ee861d70d,2021-04-28T19:33:12.046Z,pieceWhite6,4,5
0,6089b87881b3dd3ee861d70e,2021-04-28T19:33:12.054Z,pieceWhite7,4,7
0,6089b87881b3dd3ee861d70f,2021-04-28T19:33:12.062Z,pieceWhite8,5,6
0,6089b87881b3dd3ee861d710,2021-04-28T19:33:12.067Z,pieceWhite9,6,5
0,6089b87881b3dd3ee861d711,2021-04-28T19:33:12.071Z,pieceWhite10,6,7
0,6089b87881b3dd3ee861d712,2021-04-28T19:33:12.078Z,pieceWhite11,7,6
